םל	Ïמדכ.
700.00	0.010
699.00	0.010
698.00	0.010
697.00	0.010
696.00	0.010
695.00	0.010
694.00	0.010
693.00	0.010
692.00	0.010
691.00	0.010
690.00	0.010
689.00	0.010
688.00	0.010
687.00	0.010
686.00	0.010
685.00	0.010
684.00	0.010
683.00	0.010
682.00	0.010
681.00	0.010
680.00	0.010
679.00	0.010
678.00	0.010
677.00	0.010
676.00	0.010
675.00	0.011
674.00	0.011
673.00	0.012
672.00	0.012
671.00	0.012
670.00	0.012
669.00	0.012
668.00	0.012
667.00	0.012
666.00	0.012
665.00	0.012
664.00	0.012
663.00	0.012
662.00	0.012
661.00	0.012
660.00	0.011
659.00	0.011
658.00	0.011
657.00	0.012
656.00	0.011
655.00	0.011
654.00	0.011
653.00	0.011
652.00	0.011
651.00	0.012
650.00	0.011
649.00	0.011
648.00	0.011
647.00	0.011
646.00	0.012
645.00	0.011
644.00	0.011
643.00	0.011
642.00	0.011
641.00	0.011
640.00	0.011
639.00	0.012
638.00	0.011
637.00	0.012
636.00	0.012
635.00	0.012
634.00	0.012
633.00	0.012
632.00	0.012
631.00	0.012
630.00	0.012
629.00	0.012
628.00	0.012
627.00	0.012
626.00	0.012
625.00	0.012
624.00	0.012
623.00	0.012
622.00	0.012
621.00	0.012
620.00	0.012
619.00	0.012
618.00	0.012
617.00	0.012
616.00	0.012
615.00	0.012
614.00	0.012
613.00	0.012
612.00	0.012
611.00	0.012
610.00	0.012
609.00	0.012
608.00	0.012
607.00	0.012
606.00	0.012
605.00	0.012
604.00	0.012
603.00	0.012
602.00	0.012
601.00	0.012
600.00	0.012
599.00	0.012
598.00	0.012
597.00	0.012
596.00	0.012
595.00	0.012
594.00	0.012
593.00	0.012
592.00	0.013
591.00	0.013
590.00	0.013
589.00	0.013
588.00	0.013
587.00	0.012
586.00	0.013
585.00	0.013
584.00	0.013
583.00	0.013
582.00	0.013
581.00	0.013
580.00	0.013
579.00	0.013
578.00	0.013
577.00	0.013
576.00	0.013
575.00	0.013
574.00	0.013
573.00	0.013
572.00	0.013
571.00	0.013
570.00	0.013
569.00	0.013
568.00	0.013
567.00	0.013
566.00	0.013
565.00	0.013
564.00	0.014
563.00	0.013
562.00	0.014
561.00	0.014
560.00	0.014
559.00	0.014
558.00	0.013
557.00	0.014
556.00	0.014
555.00	0.014
554.00	0.014
553.00	0.014
552.00	0.014
551.00	0.014
550.00	0.014
549.00	0.014
548.00	0.014
547.00	0.014
546.00	0.014
545.00	0.014
544.00	0.014
543.00	0.014
542.00	0.014
541.00	0.015
540.00	0.014
539.00	0.014
538.00	0.015
537.00	0.015
536.00	0.015
535.00	0.015
534.00	0.015
533.00	0.015
532.00	0.015
531.00	0.014
530.00	0.015
529.00	0.014
528.00	0.014
527.00	0.014
526.00	0.015
525.00	0.015
524.00	0.015
523.00	0.015
522.00	0.015
521.00	0.015
520.00	0.015
519.00	0.015
518.00	0.015
517.00	0.015
516.00	0.015
515.00	0.015
514.00	0.015
513.00	0.015
512.00	0.015
511.00	0.016
510.00	0.016
509.00	0.016
508.00	0.016
507.00	0.016
506.00	0.016
505.00	0.017
504.00	0.017
503.00	0.017
502.00	0.017
501.00	0.017
500.00	0.017
499.00	0.017
498.00	0.017
497.00	0.017
496.00	0.018
495.00	0.018
494.00	0.018
493.00	0.018
492.00	0.018
491.00	0.019
490.00	0.018
489.00	0.019
488.00	0.019
487.00	0.019
486.00	0.019
485.00	0.020
484.00	0.020
483.00	0.021
482.00	0.021
481.00	0.021
480.00	0.021
479.00	0.021
478.00	0.022
477.00	0.022
476.00	0.022
475.00	0.023
474.00	0.023
473.00	0.023
472.00	0.024
471.00	0.024
470.00	0.025
469.00	0.026
468.00	0.026
467.00	0.026
466.00	0.027
465.00	0.027
464.00	0.027
463.00	0.028
462.00	0.029
461.00	0.029
460.00	0.030
459.00	0.031
458.00	0.031
457.00	0.031
456.00	0.032
455.00	0.033
454.00	0.033
453.00	0.033
452.00	0.034
451.00	0.035
450.00	0.035
449.00	0.035
448.00	0.036
447.00	0.036
446.00	0.037
445.00	0.037
444.00	0.038
443.00	0.038
442.00	0.038
441.00	0.038
440.00	0.038
439.00	0.039
438.00	0.040
437.00	0.040
436.00	0.040
435.00	0.040
434.00	0.040
433.00	0.041
432.00	0.041
431.00	0.041
430.00	0.041
429.00	0.042
428.00	0.042
427.00	0.042
426.00	0.043
425.00	0.043
424.00	0.043
423.00	0.043
422.00	0.043
421.00	0.043
420.00	0.043
419.00	0.043
418.00	0.043
417.00	0.043
416.00	0.044
415.00	0.043
414.00	0.044
413.00	0.043
412.00	0.042
411.00	0.043
410.00	0.042
409.00	0.042
408.00	0.042
407.00	0.042
406.00	0.041
405.00	0.041
404.00	0.040
403.00	0.040
402.00	0.040
401.00	0.039
400.00	0.039
399.00	0.038
398.00	0.037
397.00	0.038
396.00	0.037
395.00	0.036
394.00	0.037
393.00	0.036
392.00	0.036
391.00	0.036
390.00	0.035
389.00	0.035
388.00	0.035
387.00	0.034
386.00	0.034
385.00	0.034
384.00	0.033
383.00	0.034
382.00	0.033
381.00	0.033
380.00	0.033
379.00	0.033
378.00	0.034
377.00	0.034
376.00	0.034
375.00	0.033
374.00	0.033
373.00	0.034
372.00	0.034
371.00	0.035
370.00	0.034
369.00	0.035
368.00	0.035
367.00	0.035
366.00	0.035
365.00	0.035
364.00	0.035
363.00	0.036
362.00	0.037
361.00	0.037
360.00	0.039
359.00	0.035
358.00	0.040
357.00	0.036
356.00	0.039
355.00	0.041
354.00	0.039
353.00	0.040
352.00	0.039
351.00	0.040
350.00	0.038
349.00	0.041
348.00	0.044
347.00	0.041
346.00	0.041
345.00	0.044
344.00	0.044
