םל	Ïמדכ.
700.00	0.003
699.00	0.003
698.00	0.003
697.00	0.003
696.00	0.003
695.00	0.003
694.00	0.003
693.00	0.003
692.00	0.003
691.00	0.003
690.00	0.003
689.00	0.003
688.00	0.003
687.00	0.003
686.00	0.003
685.00	0.003
684.00	0.003
683.00	0.003
682.00	0.003
681.00	0.003
680.00	0.003
679.00	0.003
678.00	0.003
677.00	0.003
676.00	0.003
675.00	0.002
674.00	0.003
673.00	0.003
672.00	0.003
671.00	0.003
670.00	0.003
669.00	0.003
668.00	0.003
667.00	0.003
666.00	0.003
665.00	0.003
664.00	0.003
663.00	0.003
662.00	0.003
661.00	0.003
660.00	0.003
659.00	0.003
658.00	0.003
657.00	0.003
656.00	0.003
655.00	0.003
654.00	0.003
653.00	0.003
652.00	0.003
651.00	0.003
650.00	0.003
649.00	0.003
648.00	0.003
647.00	0.003
646.00	0.003
645.00	0.003
644.00	0.003
643.00	0.003
642.00	0.003
641.00	0.003
640.00	0.003
639.00	0.003
638.00	0.003
637.00	0.003
636.00	0.003
635.00	0.003
634.00	0.003
633.00	0.003
632.00	0.003
631.00	0.003
630.00	0.003
629.00	0.003
628.00	0.003
627.00	0.003
626.00	0.003
625.00	0.003
624.00	0.003
623.00	0.003
622.00	0.003
621.00	0.003
620.00	0.003
619.00	0.003
618.00	0.003
617.00	0.003
616.00	0.003
615.00	0.003
614.00	0.003
613.00	0.003
612.00	0.003
611.00	0.003
610.00	0.003
609.00	0.003
608.00	0.003
607.00	0.003
606.00	0.003
605.00	0.003
604.00	0.003
603.00	0.004
602.00	0.003
601.00	0.003
600.00	0.003
599.00	0.003
598.00	0.003
597.00	0.004
596.00	0.004
595.00	0.003
594.00	0.004
593.00	0.003
592.00	0.003
591.00	0.004
590.00	0.004
589.00	0.003
588.00	0.004
587.00	0.004
586.00	0.003
585.00	0.004
584.00	0.003
583.00	0.004
582.00	0.004
581.00	0.004
580.00	0.004
579.00	0.004
578.00	0.004
577.00	0.004
576.00	0.004
575.00	0.004
574.00	0.004
573.00	0.004
572.00	0.004
571.00	0.004
570.00	0.004
569.00	0.004
568.00	0.004
567.00	0.004
566.00	0.004
565.00	0.004
564.00	0.004
563.00	0.004
562.00	0.004
561.00	0.004
560.00	0.004
559.00	0.004
558.00	0.004
557.00	0.005
556.00	0.004
555.00	0.004
554.00	0.005
553.00	0.004
552.00	0.005
551.00	0.005
550.00	0.005
549.00	0.005
548.00	0.005
547.00	0.005
546.00	0.005
545.00	0.005
544.00	0.005
543.00	0.005
542.00	0.005
541.00	0.005
540.00	0.005
539.00	0.005
538.00	0.005
537.00	0.005
536.00	0.006
535.00	0.005
534.00	0.006
533.00	0.006
532.00	0.006
531.00	0.006
530.00	0.006
529.00	0.006
528.00	0.006
527.00	0.006
526.00	0.006
525.00	0.006
524.00	0.006
523.00	0.007
522.00	0.006
521.00	0.007
520.00	0.007
519.00	0.007
518.00	0.007
517.00	0.008
516.00	0.007
515.00	0.008
514.00	0.007
513.00	0.008
512.00	0.008
511.00	0.009
510.00	0.008
509.00	0.009
508.00	0.009
507.00	0.009
506.00	0.009
505.00	0.009
504.00	0.010
503.00	0.010
502.00	0.011
501.00	0.011
500.00	0.011
499.00	0.011
498.00	0.012
497.00	0.012
496.00	0.012
495.00	0.013
494.00	0.013
493.00	0.013
492.00	0.014
491.00	0.014
490.00	0.015
489.00	0.015
488.00	0.015
487.00	0.016
486.00	0.016
485.00	0.017
484.00	0.017
483.00	0.018
482.00	0.018
481.00	0.018
480.00	0.019
479.00	0.020
478.00	0.020
477.00	0.021
476.00	0.021
475.00	0.022
474.00	0.022
473.00	0.023
472.00	0.023
471.00	0.023
470.00	0.024
469.00	0.025
468.00	0.025
467.00	0.025
466.00	0.026
465.00	0.027
464.00	0.027
463.00	0.027
462.00	0.028
461.00	0.029
460.00	0.030
459.00	0.030
458.00	0.031
457.00	0.031
456.00	0.032
455.00	0.033
454.00	0.033
453.00	0.033
452.00	0.034
451.00	0.035
450.00	0.035
449.00	0.036
448.00	0.037
447.00	0.037
446.00	0.037
445.00	0.038
444.00	0.039
443.00	0.039
442.00	0.039
441.00	0.040
440.00	0.040
439.00	0.041
438.00	0.041
437.00	0.042
436.00	0.042
435.00	0.043
434.00	0.044
433.00	0.043
432.00	0.044
431.00	0.044
430.00	0.044
429.00	0.045
428.00	0.045
427.00	0.045
426.00	0.046
425.00	0.046
424.00	0.046
423.00	0.047
422.00	0.047
421.00	0.047
420.00	0.047
419.00	0.047
418.00	0.047
417.00	0.048
416.00	0.048
415.00	0.048
414.00	0.048
413.00	0.048
412.00	0.048
411.00	0.048
410.00	0.048
409.00	0.048
408.00	0.048
407.00	0.048
406.00	0.048
405.00	0.048
404.00	0.049
403.00	0.048
402.00	0.048
401.00	0.048
400.00	0.049
399.00	0.049
398.00	0.049
397.00	0.049
396.00	0.049
395.00	0.050
394.00	0.050
393.00	0.050
392.00	0.050
391.00	0.051
390.00	0.051
389.00	0.051
388.00	0.053
387.00	0.054
386.00	0.053
385.00	0.055
384.00	0.055
383.00	0.055
382.00	0.057
381.00	0.058
380.00	0.058
379.00	0.059
378.00	0.062
377.00	0.062
376.00	0.062
375.00	0.065
374.00	0.065
373.00	0.067
372.00	0.068
371.00	0.070
370.00	0.071
369.00	0.073
368.00	0.075
367.00	0.076
366.00	0.079
365.00	0.079
364.00	0.082
363.00	0.086
362.00	0.086
361.00	0.089
360.00	0.091
359.00	0.091
358.00	0.093
357.00	0.098
356.00	0.102
355.00	0.102
354.00	0.102
353.00	0.110
352.00	0.110
351.00	0.111
350.00	0.117
349.00	0.119
348.00	0.120
347.00	0.123
346.00	0.128
345.00	0.127
344.00	0.130
343.00	0.136
342.00	0.134
341.00	0.139
340.00	0.143
339.00	0.144
338.00	0.145
337.00	0.151
336.00	0.153
335.00	0.155
334.00	0.161
333.00	0.162
332.00	0.166
331.00	0.168
330.00	0.174
329.00	0.176
328.00	0.179
327.00	0.182
326.00	0.185
325.00	0.189
324.00	0.189
323.00	0.196
322.00	0.196
321.00	0.199
320.00	0.203
319.00	0.207
318.00	0.208
317.00	0.214
316.00	0.218
315.00	0.219
314.00	0.225
313.00	0.228
312.00	0.234
311.00	0.236
310.00	0.240
309.00	0.244
308.00	0.249
307.00	0.250
306.00	0.256
305.00	0.260
304.00	0.263
303.00	0.267
302.00	0.273
301.00	0.276
300.00	0.281
299.00	0.287
298.00	0.290
297.00	0.296
296.00	0.300
295.00	0.306
294.00	0.309
293.00	0.314
292.00	0.319
291.00	0.325
290.00	0.332
289.00	0.338
288.00	0.345
287.00	0.353
286.00	0.359
285.00	0.367
284.00	0.372
283.00	0.377
282.00	0.384
281.00	0.391
280.00	0.400
279.00	0.412
278.00	0.420
277.00	0.430
276.00	0.439
275.00	0.449
274.00	0.458
273.00	0.467
272.00	0.476
271.00	0.485
270.00	0.495
269.00	0.506
268.00	0.519
267.00	0.531
266.00	0.543
265.00	0.556
264.00	0.568
263.00	0.580
262.00	0.593
261.00	0.605
260.00	0.616
259.00	0.629
258.00	0.638
257.00	0.651
256.00	0.666
255.00	0.676
254.00	0.687
253.00	0.697
252.00	0.704
251.00	0.714
250.00	0.722
249.00	0.727
248.00	0.735
247.00	0.739
246.00	0.744
245.00	0.749
244.00	0.751
243.00	0.756
242.00	0.760
241.00	0.761
240.00	0.764
239.00	0.769
238.00	0.769
237.00	0.774
236.00	0.779
235.00	0.782
234.00	0.789
233.00	0.793
232.00	0.799
231.00	0.807
230.00	0.819
229.00	0.828
228.00	0.831
227.00	0.834
226.00	0.845
225.00	0.850
224.00	0.805
223.00	0.757
222.00	0.702
221.00	0.676
220.00	0.644
219.00	0.727
218.00	0.629
217.00	0.522
216.00	0.587
215.00	0.575
214.00	0.649
213.00	0.471
212.00	0.471
211.00	0.641
210.00	0.508
209.00	0.378
208.00	0.490
207.00	0.563
206.00	0.420
205.00	0.381
204.00	0.343
203.00	0.504
202.00	0.456
201.00	0.452
200.00	0.367
