wavelength, nm;	absorption
362.00;	0.3833
362.32;	0.3902
362.65;	0.3972
362.97;	0.4043
363.29;	0.4115
363.61;	0.4188
363.94;	0.4262
364.26;	0.4336
364.58;	0.4412
364.90;	0.4489
365.23;	0.4567
365.55;	0.4646
365.87;	0.4725
366.19;	0.4806
366.52;	0.4888
366.84;	0.4971
367.16;	0.5055
367.48;	0.5140
367.81;	0.5226
368.13;	0.5313
368.45;	0.5402
368.77;	0.5491
369.10;	0.5581
369.42;	0.5673
369.74;	0.5765
370.06;	0.5859
370.39;	0.5954
370.71;	0.6049
371.03;	0.6146
371.35;	0.6244
371.68;	0.6343
372.00;	0.6444
372.32;	0.6545
372.65;	0.6647
372.97;	0.6751
373.29;	0.6856
373.61;	0.6961
373.94;	0.7068
374.26;	0.7176
374.58;	0.7285
374.90;	0.7396
375.23;	0.7507
375.55;	0.7620
375.87;	0.7733
376.19;	0.7848
376.52;	0.7964
376.84;	0.8081
377.16;	0.8199
377.48;	0.8319
377.81;	0.8439
378.13;	0.8561
378.45;	0.8684
378.77;	0.8807
379.10;	0.8932
379.42;	0.9058
379.74;	0.9186
380.06;	0.9314
380.39;	0.9443
380.71;	0.9574
381.03;	0.9705
381.35;	0.9838
381.68;	0.9972
382.00;	1.0107
382.32;	1.0243
382.65;	1.0380
382.97;	1.0518
383.29;	1.0658
383.61;	1.0798
383.94;	1.0939
384.26;	1.1082
384.58;	1.1225
384.90;	1.1370
385.23;	1.1515
385.55;	1.1662
385.87;	1.1809
386.19;	1.1958
386.52;	1.2107
386.84;	1.2258
387.16;	1.2409
387.48;	1.2562
387.81;	1.2715
388.13;	1.2870
388.45;	1.3025
388.77;	1.3181
389.10;	1.3339
389.42;	1.3497
389.74;	1.3656
390.06;	1.3816
390.39;	1.3976
390.71;	1.4138
391.03;	1.4300
391.35;	1.4464
391.68;	1.4628
392.00;	1.4792
392.32;	1.4958
392.65;	1.5124
392.97;	1.5292
393.29;	1.5459
393.61;	1.5628
393.94;	1.5797
394.26;	1.5967
394.58;	1.6138
394.90;	1.6309
395.23;	1.6481
