wavelength, nm;	absorption
378.00;	0.7221
378.25;	0.7302
378.51;	0.7384
378.76;	0.7467
379.01;	0.7550
379.27;	0.7634
379.52;	0.7718
379.77;	0.7803
380.03;	0.7889
380.28;	0.7975
380.53;	0.8061
380.79;	0.8149
381.04;	0.8236
381.29;	0.8325
381.55;	0.8414
381.80;	0.8503
382.05;	0.8593
382.31;	0.8684
382.56;	0.8775
382.81;	0.8867
383.07;	0.8960
383.32;	0.9052
383.57;	0.9146
383.83;	0.9240
384.08;	0.9335
384.33;	0.9430
384.59;	0.9525
384.84;	0.9622
385.10;	0.9718
385.35;	0.9816
385.60;	0.9914
385.86;	1.0012
386.11;	1.0111
386.36;	1.0210
386.62;	1.0310
386.87;	1.0411
387.12;	1.0512
387.38;	1.0613
387.63;	1.0715
387.88;	1.0818
388.14;	1.0921
388.39;	1.1024
388.64;	1.1128
388.90;	1.1233
389.15;	1.1337
389.40;	1.1443
389.66;	1.1549
389.91;	1.1655
390.16;	1.1762
390.42;	1.1869
390.67;	1.1977
390.92;	1.2085
391.18;	1.2193
391.43;	1.2302
391.68;	1.2412
391.94;	1.2521
392.19;	1.2632
392.44;	1.2742
392.70;	1.2853
392.95;	1.2965
393.20;	1.3076
393.46;	1.3189
393.71;	1.3301
393.96;	1.3414
394.22;	1.3527
394.47;	1.3641
394.72;	1.3755
394.98;	1.3869
395.23;	1.3984
395.48;	1.4099
395.74;	1.4214
395.99;	1.4329
396.24;	1.4445
396.50;	1.4561
396.75;	1.4678
397.00;	1.4795
397.26;	1.4911
397.51;	1.5029
397.76;	1.5146
398.02;	1.5264
398.27;	1.5382
398.53;	1.5500
398.78;	1.5618
399.03;	1.5737
399.29;	1.5856
399.54;	1.5974
399.79;	1.6094
400.05;	1.6213
400.30;	1.6332
400.55;	1.6452
400.81;	1.6572
401.06;	1.6692
401.31;	1.6812
401.57;	1.6932
401.82;	1.7052
402.07;	1.7172
402.33;	1.7292
402.58;	1.7413
402.83;	1.7533
403.09;	1.7654
403.34;	1.7774
403.59;	1.7895
403.85;	1.8016
404.10;	1.8136
404.35;	1.8257
404.61;	1.8378
404.86;	1.8498
405.11;	1.8619
405.37;	1.8739
405.62;	1.8860
405.87;	1.8980
406.13;	1.9100
406.38;	1.9220
406.63;	1.9341
406.89;	1.9461
407.14;	1.9580
407.39;	1.9700
407.65;	1.9820
407.90;	1.9939
408.15;	2.0058
408.41;	2.0177
408.66;	2.0296
408.91;	2.0415
409.17;	2.0533
409.42;	2.0651
409.67;	2.0769
409.93;	2.0887
410.18;	2.1005
410.43;	2.1122
410.69;	2.1239
410.94;	2.1355
411.19;	2.1471
411.45;	2.1587
411.70;	2.1703
411.96;	2.1818
412.21;	2.1933
412.46;	2.2047
412.72;	2.2161
412.97;	2.2275
413.22;	2.2388
413.48;	2.2501
413.73;	2.2614
413.98;	2.2726
414.24;	2.2837
414.49;	2.2948
414.74;	2.3059
415.00;	2.3169
415.25;	2.3278
415.50;	2.3387
415.76;	2.3496
416.01;	2.3604
416.26;	2.3711
416.52;	2.3818
416.77;	2.3924
417.02;	2.4030
417.28;	2.4135
417.53;	2.4239
417.78;	2.4343
418.04;	2.4446
418.29;	2.4549
418.54;	2.4651
418.80;	2.4752
419.05;	2.4852
419.30;	2.4952
419.56;	2.5051
419.81;	2.5149
420.06;	2.5247
420.32;	2.5344
420.57;	2.5440
420.82;	2.5535
421.08;	2.5630
421.33;	2.5723
421.58;	2.5816
421.84;	2.5908
422.09;	2.6000
422.34;	2.6090
422.60;	2.6180
422.85;	2.6268
423.10;	2.6356
423.36;	2.6443
423.61;	2.6529
423.86;	2.6614
424.12;	2.6699
424.37;	2.6782
424.62;	2.6865
424.88;	2.6946
425.13;	2.7026
425.39;	2.7106
425.64;	2.7185
425.89;	2.7262
426.15;	2.7339
426.40;	2.7414
426.65;	2.7489
426.91;	2.7562
427.16;	2.7635
427.41;	2.7706
427.67;	2.7777
427.92;	2.7846
428.17;	2.7915
428.43;	2.7982
428.68;	2.8048
428.93;	2.8113
429.19;	2.8177
429.44;	2.8240
429.69;	2.8301
429.95;	2.8362
430.20;	2.8422
430.45;	2.8480
430.71;	2.8537
430.96;	2.8593
431.21;	2.8648
431.47;	2.8702
431.72;	2.8754
431.97;	2.8805
432.23;	2.8856
432.48;	2.8904
432.73;	2.8952
432.99;	2.8999
433.24;	2.9044
433.49;	2.9088
433.75;	2.9131
434.00;	2.9173
434.25;	2.9213
434.51;	2.9252
434.76;	2.9290
435.01;	2.9327
435.27;	2.9362
435.52;	2.9396
435.77;	2.9429
436.03;	2.9460
436.28;	2.9491
436.53;	2.9520
436.79;	2.9547
437.04;	2.9574
437.29;	2.9599
437.55;	2.9623
437.80;	2.9645
438.05;	2.9667
438.31;	2.9687
438.56;	2.9705
438.82;	2.9723
439.07;	2.9739
439.32;	2.9753
439.58;	2.9767
439.83;	2.9779
440.08;	2.9790
440.34;	2.9799
440.59;	2.9807
440.84;	2.9814
441.10;	2.9819
441.35;	2.9824
441.60;	2.9826
441.86;	2.9828
442.11;	2.9828
442.36;	2.9827
442.62;	2.9824
442.87;	2.9821
443.12;	2.9815
443.38;	2.9809
443.63;	2.9801
443.88;	2.9792
444.14;	2.9782
444.39;	2.9770
444.64;	2.9757
444.90;	2.9743
445.15;	2.9727
445.40;	2.9710
445.66;	2.9692
445.91;	2.9672
446.16;	2.9651
446.42;	2.9629
446.67;	2.9605
446.92;	2.9580
447.18;	2.9554
447.43;	2.9527
447.68;	2.9498
447.94;	2.9468
448.19;	2.9437
448.44;	2.9405
448.70;	2.9371
448.95;	2.9336
449.20;	2.9300
449.46;	2.9262
449.71;	2.9223
449.96;	2.9183
450.22;	2.9142
450.47;	2.9099
450.72;	2.9056
450.98;	2.9011
451.23;	2.8964
451.48;	2.8917
451.74;	2.8868
451.99;	2.8819
452.25;	2.8768
452.50;	2.8716
452.75;	2.8662
453.01;	2.8608
453.26;	2.8552
453.51;	2.8495
453.77;	2.8437
454.02;	2.8378
454.27;	2.8318
454.53;	2.8256
454.78;	2.8194
455.03;	2.8130
455.29;	2.8066
455.54;	2.8000
455.79;	2.7933
456.05;	2.7865
456.30;	2.7796
456.55;	2.7726
456.81;	2.7655
457.06;	2.7582
457.31;	2.7509
457.57;	2.7435
457.82;	2.7360
458.07;	2.7284
458.33;	2.7206
458.58;	2.7128
458.83;	2.7049
459.09;	2.6969
459.34;	2.6888
459.59;	2.6805
459.85;	2.6722
460.10;	2.6639
460.35;	2.6554
460.61;	2.6468
460.86;	2.6381
461.11;	2.6294
461.37;	2.6205
461.62;	2.6116
461.87;	2.6026
462.13;	2.5935
462.38;	2.5843
462.63;	2.5751
462.89;	2.5657
463.14;	2.5563
463.39;	2.5468
463.65;	2.5373
463.90;	2.5276
464.15;	2.5179
464.41;	2.5081
464.66;	2.4982
464.91;	2.4883
465.17;	2.4783
465.42;	2.4682
465.68;	2.4580
465.93;	2.4478
466.18;	2.4375
466.44;	2.4272
466.69;	2.4168
466.94;	2.4063
467.20;	2.3958
467.45;	2.3852
467.70;	2.3746
467.96;	2.3639
468.21;	2.3531
468.46;	2.3423
468.72;	2.3314
468.97;	2.3205
469.22;	2.3095
469.48;	2.2985
469.73;	2.2874
469.98;	2.2763
470.24;	2.2652
470.49;	2.2540
470.74;	2.2427
471.00;	2.2314
471.25;	2.2201
471.50;	2.2087
471.76;	2.1973
472.01;	2.1859
472.26;	2.1744
472.52;	2.1628
472.77;	2.1513
473.02;	2.1397
473.28;	2.1281
473.53;	2.1164
473.78;	2.1048
474.04;	2.0931
474.29;	2.0813
474.54;	2.0696
474.80;	2.0578
475.05;	2.0460
475.30;	2.0342
475.56;	2.0223
475.81;	2.0104
476.06;	1.9986
476.32;	1.9867
476.57;	1.9747
476.82;	1.9628
477.08;	1.9509
477.33;	1.9389
477.58;	1.9269
477.84;	1.9150
478.09;	1.9030
478.34;	1.8910
478.60;	1.8790
478.85;	1.8670
479.11;	1.8550
479.36;	1.8429
479.61;	1.8309
479.87;	1.8189
480.12;	1.8069
480.37;	1.7949
480.63;	1.7828
480.88;	1.7708
481.13;	1.7588
481.39;	1.7468
481.64;	1.7348
481.89;	1.7228
482.15;	1.7108
482.40;	1.6989
482.65;	1.6869
482.91;	1.6750
483.16;	1.6630
483.41;	1.6511
483.67;	1.6392
483.92;	1.6273
484.17;	1.6154
484.43;	1.6035
484.68;	1.5917
484.93;	1.5799
485.19;	1.5681
485.44;	1.5563
485.69;	1.5445
485.95;	1.5328
486.20;	1.5210
486.45;	1.5094
486.71;	1.4977
486.96;	1.4860
487.21;	1.4744
487.47;	1.4628
487.72;	1.4513
487.97;	1.4397
488.23;	1.4282
488.48;	1.4168
488.73;	1.4053
488.99;	1.3939
489.24;	1.3826
489.49;	1.3712
489.75;	1.3599
490.00;	1.3486
490.25;	1.3374
490.51;	1.3262
490.76;	1.3151
491.01;	1.3039
491.27;	1.2929
491.52;	1.2818
491.77;	1.2708
492.03;	1.2599
492.28;	1.2489
492.54;	1.2381
492.79;	1.2272
493.04;	1.2164
493.30;	1.2057
493.55;	1.1950
493.80;	1.1843
494.06;	1.1737
494.31;	1.1632
494.56;	1.1526
494.82;	1.1422
495.07;	1.1318
495.32;	1.1214
495.58;	1.1111
495.83;	1.1008
496.08;	1.0905
496.34;	1.0804
496.59;	1.0702
496.84;	1.0602
497.10;	1.0501
497.35;	1.0402
497.60;	1.0302
497.86;	1.0204
498.11;	1.0106
498.36;	1.0008
498.62;	0.9911
498.87;	0.9814
499.12;	0.9718
499.38;	0.9623
499.63;	0.9528
499.88;	0.9434
500.14;	0.9340
500.39;	0.9247
500.64;	0.9154
500.90;	0.9062
501.15;	0.8970
501.40;	0.8879
501.66;	0.8789
501.91;	0.8699
502.16;	0.8610
502.42;	0.8521
502.67;	0.8433
502.92;	0.8346
503.18;	0.8259
503.43;	0.8173
503.68;	0.8087
503.94;	0.8002
504.19;	0.7917
504.44;	0.7833
504.70;	0.7750
504.95;	0.7667
505.20;	0.7585
505.46;	0.7503
505.71;	0.7422
505.97;	0.7342
506.22;	0.7262
506.47;	0.7183
506.73;	0.7104
506.98;	0.7026
507.23;	0.6949
507.49;	0.6872
507.74;	0.6796
507.99;	0.6720
508.25;	0.6645
508.50;	0.6571
508.75;	0.6497
509.01;	0.6424
509.26;	0.6351
509.51;	0.6279
509.77;	0.6208
510.02;	0.6137
510.27;	0.6067
510.53;	0.5997
510.78;	0.5928
511.03;	0.5860
511.29;	0.5792
511.54;	0.5725
511.79;	0.5658
512.05;	0.5592
512.30;	0.5527
512.55;	0.5462
512.81;	0.5398
513.06;	0.5334
513.31;	0.5271
513.57;	0.5209
513.82;	0.5147
514.07;	0.5086
514.33;	0.5025
514.58;	0.4965
514.83;	0.4905
515.09;	0.4846
515.34;	0.4788
515.59;	0.4730
515.85;	0.4673
516.10;	0.4616
516.35;	0.4560
516.61;	0.4504
516.86;	0.4449
517.11;	0.4395
517.37;	0.4341
517.62;	0.4287
517.87;	0.4235
