wavelength, nm;	absorption
404.00;	1.9986
404.38;	2.0184
404.75;	2.0383
405.13;	2.0581
405.51;	2.0779
405.89;	2.0977
406.26;	2.1175
406.64;	2.1373
407.02;	2.1570
407.40;	2.1768
407.77;	2.1964
408.15;	2.2161
408.53;	2.2356
408.91;	2.2552
409.28;	2.2747
409.66;	2.2941
410.04;	2.3135
410.42;	2.3328
410.79;	2.3520
411.17;	2.3711
411.55;	2.3902
411.93;	2.4092
412.30;	2.4281
412.68;	2.4469
413.06;	2.4656
413.44;	2.4842
413.81;	2.5027
414.19;	2.5211
414.57;	2.5393
414.95;	2.5575
415.32;	2.5755
415.70;	2.5934
416.08;	2.6112
416.46;	2.6288
416.83;	2.6463
417.21;	2.6636
417.59;	2.6808
417.97;	2.6978
418.34;	2.7147
418.72;	2.7314
419.10;	2.7479
419.48;	2.7643
419.85;	2.7805
420.23;	2.7965
420.61;	2.8123
420.99;	2.8280
421.36;	2.8434
421.74;	2.8586
422.12;	2.8737
422.50;	2.8885
422.87;	2.9031
423.25;	2.9175
423.63;	2.9317
424.01;	2.9457
424.38;	2.9594
424.76;	2.9730
425.14;	2.9862
425.52;	2.9993
425.89;	3.0121
426.27;	3.0246
426.65;	3.0370
427.03;	3.0490
427.40;	3.0608
427.78;	3.0724
428.16;	3.0837
428.54;	3.0947
428.91;	3.1055
429.29;	3.1160
429.67;	3.1262
430.05;	3.1361
430.42;	3.1458
430.80;	3.1552
431.18;	3.1643
431.56;	3.1731
431.93;	3.1816
432.31;	3.1898
432.69;	3.1977
433.07;	3.2054
433.44;	3.2127
433.82;	3.2198
434.20;	3.2265
434.58;	3.2329
434.95;	3.2390
435.33;	3.2449
435.71;	3.2504
436.09;	3.2556
436.46;	3.2604
436.84;	3.2650
437.22;	3.2692
437.60;	3.2732
437.97;	3.2768
438.35;	3.2801
438.73;	3.2831
439.11;	3.2857
439.48;	3.2880
439.86;	3.2900
440.24;	3.2917
440.62;	3.2931
440.99;	3.2941
441.37;	3.2948
441.75;	3.2952
442.13;	3.2953
442.50;	3.2950
442.88;	3.2944
443.26;	3.2935
443.64;	3.2922
444.01;	3.2907
444.39;	3.2888
444.77;	3.2866
445.15;	3.2840
445.52;	3.2812
445.90;	3.2780
446.28;	3.2745
446.66;	3.2707
447.03;	3.2666
447.41;	3.2621
447.79;	3.2574
448.17;	3.2523
448.54;	3.2469
448.92;	3.2412
449.30;	3.2352
449.68;	3.2289
450.05;	3.2222
450.43;	3.2153
450.81;	3.2081
451.19;	3.2005
451.56;	3.1927
451.94;	3.1846
452.32;	3.1762
452.70;	3.1675
453.07;	3.1585
453.45;	3.1492
453.83;	3.1397
454.21;	3.1298
454.58;	3.1197
454.96;	3.1093
455.34;	3.0987
455.72;	3.0877
456.09;	3.0765
456.47;	3.0651
456.85;	3.0534
457.23;	3.0414
457.60;	3.0292
457.98;	3.0167
458.36;	3.0040
458.74;	2.9911
459.11;	2.9779
459.49;	2.9644
459.87;	2.9508
460.25;	2.9369
460.62;	2.9228
461.00;	2.9085
461.38;	2.8939
461.76;	2.8792
462.13;	2.8642
462.51;	2.8491
462.89;	2.8337
463.27;	2.8182
463.64;	2.8024
464.02;	2.7865
464.40;	2.7704
464.78;	2.7541
465.15;	2.7376
465.53;	2.7210
465.91;	2.7042
466.29;	2.6872
